plant.h,block,treatment,position,source.pop,source pop number,source.fam,field.greenhouse,first.flower,rosette.diameter,height,leaf.length,SLA,branch.length,internode.number,internode.length,biomass,seeds.per.fruit ,fruits
671,19,he,5,SHL,13,SHL14,G,113,29.00,11,15.629,41.1925601750547,75,8,9.375,2.52,5,69
672,19,he,6,ERL,2,ERL3,G,113,27.00,8,13.232,29.6684,54,10,5.4,2.82,4.2,70
673,19,ho,1,ILH,4,ILH5,G,99,31.00,11,17.434,37.1474,n/a,n/a,n/a,n/a,5,61
675,19,ho,3,SHH,12,SHH3,G,113,22.67,19,19.82,43.8231,70,9,7.77777777777778,2.62,4.6,45
676,19,ho,4,NPH,8,NPH11,G,105,28.33,18,16.31,37.2075,73,10,7.3,2.40,4.8,84
677,19,ho,5,SCH,11,SCH17,G,113,30.67,11,21.426,36.4172,n/a,n/a,n/a,n/a,5,77
678,19,ho,6,ERH,1,ERH18,F,105,32.67,14,21.909,49.4476,n/a,n/a,n/a,n/a,4.8,58
679,19,ho,1,SHL,13,SHL14,G,121,24.67,12,13.681,43.3624,n/a,n/a,n/a,n/a,5,66
680,19,ho,2,NBL,7,NBL11,F,113,26.67,14,14.964,40.9183,n/a,n/a,n/a,n/a,5,48
681,19,ho,3,SHL,13,SHL18,G,121,30.33,13,18.178,32.0962,n/a,n/a,n/a,2.53,4,58
682,19,ho,4,MHL,5,MHL3,F,113,27.00,17,17.986,38.3064,n/a,n/a,n/a,2.22,4.8,71
683,19,ho,5,PWL,10,PWL5,G,105,25.00,14,19.205,33.2997,72,9,8,3.02,5,75
684,19,ho,6,ERL,2,ERL3,G,113,26.67,8,16.706,38.0121,n/a,n/a,n/a,2.82,n/a,46
685,20,c,1,ILH,4,ILH10,G,99,18.33,9,8.777,36.0386,64,9,7.11111111111111,2.79,4.4,56
686,20,c,2,ERH,1,ERH9,F,105,27.67,9,18.044,29.5577,67,8,8.375,3.99,3.4,42
687,20,c,3,NPH,8,NPH4,G,99,21.00,10,10.368,36.3754,72,8,9,3.26,5,52
688,20,c,4,SCH,11,SCH10,F,113,24.67,8,13.141,27.2080,62,10,6.2,4.14,3.8,47
689,20,c,5,NPH,8,NPH6,G,113,24.67,11,17.345,26.4059,69,8,8.625,3.33,5,43
690,20,c,6,ERH,1,ERH18,F,105,26.33,11,13.416,29.0450,64,9,7.11111111111111,4.24,3.8,24
691,20,c,1,MHL,5,MHL8,F,99,22.67,11,14.647,29.3384,85,9,9.44444444444444,3.57,n/a,n/a
692,20,c,2,MHL,5,MHL11,F,99,24.00,9,11.478,25.0690,65,8,8.125,2.55,5,54
693,20,c,3,MHL,5,MHL3,F,99,19.67,11,14.401,28.6861,60,8,7.5,2.94,5,64
694,20,c,4,ERL,2,ERL2,G,121,24.00,8,15.371,25.2767,49,8,6.125,4.34,n/a,n/a
695,20,c,5,PWL,10,PWL9,G,121,22.33,7,9.233,34.2969,65,8,8.125,3.54,4.6,49
696,20,c,6,MHL,5,MHL4,F,92,19.00,6,10.204,31.0127,54,8,6.75,2.33,5,49
697,20,he,1,ERH,1,ERH18,F,105,33.67,11,18.86,44.9007,78,10,7.8,3.87,4.8,40
698,20,he,2,NPH,8,NPH4,G,113,31.00,19,19.630,41.3201,77,8,9.625,3.26,5,35
699,20,he,3,SCH,11,SCH10,F,121,32.33,12,19.558,35.0719,62,9,6.88888888888889,3.77,4.6,44
700,20,he,4,ILH,4,ILH10,G,105,27.33,15,17.736,47.4506,75,9,8.33333333333333,3.38,5,37
702,20,he,6,NPH,8,NPH6,G,113,26.00,8,14.407,32.7955,68,9,7.55555555555556,3.29,5,44
703,20,he,1,MHL,5,MHL11,F,105,32.00,19,16.114,40.2037,63,8,7.875,2.65,5,40
704,20,he,2,MHL,5,MHL4,F,105,31.33,19,19.519,31.6489,74,9,8.22222222222222,2.97,5,44
705,20,he,3,ERL,2,ERL2,G,113,30.67,10,23.277,45.3355,65,9,7.22222222222222,3.61,4.6,41
706,20,he,4,MHL,5,MHL8,F,105,28.33,21,13.105,43.8489,85,9,9.44444444444444,4.06,5,48
707,20,he,5,MHL,5,MHL3,F,121,28.33,18,15.408,38.1193,72,9,8,3.46,5,43
708,20,he,6,PWL,10,PWL9,G,113,21.00,11,13.368,31.8713,59,9,6.55555555555556,3.38,4.2,46
709,20,ho,1,ILH,4,ILH10,G,105,26.00,14,12.484,32.5512,66,9,7.33333333333333,3.02,4.4,60
710,20,ho,2,NPH,8,NPH4,G,113,27.33,14,15.461,31.9387,68,9,7.55555555555556,3.16,4.6,64
711,20,ho,3,ERH,1,ERH18,F,121,31.67,15,15.882,39.2135,70,9,7.77777777777778,4.28,4.4,48
712,20,ho,4,ERH,1,ERH9,F,113,29.67,14,16.506,36.8648,66,10,6.6,4.55,5,64
713,20,ho,5,SCH,11,SCH10,F,113,31.33,14,20.554,31.3529,66,9,7.33333333333333,4.42,4.4,42
714,20,ho,6,NPH,8,NPH6,G,113,26.00,9,12.025,25.2204,59,8,7.375,3.38,4.6,69
715,20,ho,1,PWL,10,PWL9,G,105,27.33,17,14.357,35.8944,69,8,8.625,3.23,4.8,52
717,20,ho,3,MHL,5,MHL4,F,105,31.33,12,16.755,36.4141,67,8,8.375,3.20,5,49
718,20,ho,4,ERL,2,ERL2,G,121,28.67,10,16.859,30.9334,50,8,6.25,4.69,4.6,29
719,20,ho,5,MHL,5,MHL11,F,105,28.00,15,14.411,33.2887,73,8,9.125,3.66,5,64
720,20,ho,6,MHL,5,MHL8,F,105,26.00,8,12.807,26.6245,60,8,7.5,3.70,4.6,75
721,21,c,1,ERH,1,ERH12,F,105,26.67,13,14.599,34.7593,n/a,n/a,n/a,n/a,n/a,n/a
722,21,c,2,ILH,4,ILH4,G,92,21.00,9,10.873,36.6718,n/a,n/a,n/a,2.11,4.8,79
723,21,c,3,ILH,4,ILH8,G,105,15.00,8,12.125,32.8157,66,9,7.33333333333333,2.19,4.8,95
724,21,c,4,ILH,4,ILH1,G,99,19.67,6,9.609,32.9782,50,7,7.14285714285714,1.75,n/a,n/a
725,21,c,5,ILH,4,ILH5,G,92,22.67,13,12.27,37.5368,76,9,8.44444444444444,2.49,4.8,93
726,21,c,6,SCH,11,SCH15,G,105,24.00,10,14.662,30.9078,49,8,6.125,3.05,4.4,135
727,21,c,1,SHL,13,SHL18,G,105,21.00,14,11.663,28.4861,77,10,7.7,2.85,4.8,102
728,21,c,2,MHL,5,MHL10,F,92,18.67,15,12.385,39.5232,n/a,n/a,n/a,2.61,5,113
729,21,c,3,WKL,16,WKL9,F,92,22.67,12,13.544,32.2527,59,9,6.55555555555556,2.33,4.8,143
730,21,c,4,MLL,6,MLL5,G,92,23.33,12,13.023,33.5272,n/a,n/a,n/a,2.94,5,95
731,21,c,5,NBL,7,NBL12,F,99,18.67,12,9.09,35.9521,67,8,8.375,2.55,5,125
732,21,c,6,MLL,6,MLL2,G,99,17.33,8,n/a,n/a,63,8,7.875,1.92,4.8,8
733,21,he,1,ILH,4,ILH5,G,105,25.33,16,14.919,47.2161,60,6,10,1.30,4.8,38
734,21,he,2,ERH,1,ERH12,F,105,32.33,15,18.349,49.4167,85,10,8.5,2.93,4.8,116
735,21,he,3,ILH,4,ILH4,G,105,23.00,21,12.885,45.9392,75,9,8.33333333333333,2.44,5,106
736,21,he,4,ILH,4,ILH1,G,92,27.67,22,17.6,50.0048,80,8,10,2.20,4.6,43
737,21,he,5,SCH,11,SCH15,G,113,35.67,19,22.812,37.1729,88,10,8.8,4.34,4.6,90
738,21,he,6,ILH,4,ILH8,G,99,22.00,11,12.22,32.2611,64,9,7.11111111111111,2.37,n/a,n/a
739,21,he,1,SHL,13,SHL18,G,105,24.00,15,15.945,40.6792,73,9,8.11111111111111,2.57,4.6,84
740,21,he,2,NBL,7,NBL12,F,105,25.67,15,16.736,43.8811,79,9,8.77777777777778,2.51,5,77
741,21,he,3,MHL,5,MHL10,F,105,24.33,20,17.606,43.0275,82,9,9.11111111111111,2.53,4.8,82
742,21,he,4,WKL,16,WKL9,F,113,20.00,25,15.323,48.5244,77,10,7.7,2.23,5,89
743,21,he,5,MLL,6,MLL5,G,105,23.00,20,12.041,43.8566,101,10,10.1,2.76,5,60
744,21,he,6,MLL,6,MLL2,G,113,24.00,16,17.58,34.4013,83,9,9.22222222222222,2.75,5,77
745,21,ho,1,ILH,4,ILH1,G,105,30.00,15,14.156,40.5294,80,9,8.88888888888889,2.76,5,92
746,21,ho,2,SCH,11,SCH15,G,105,36.33,18,21.442,40.0153,90,10,9,3.78,4.6,108
747,21,ho,3,ILH,4,ILH5,G,105,32.33,19,15.009,40.3536,n/a,n/a,n/a,n/a,5,43
748,21,ho,4,ILH,4,ILH8,G,105,26.00,10,13.876,38.8853,n/a,n/a,n/a,1.68,4.8,66
749,21,ho,5,ERH,1,ERH12,F,113,37.00,11,18.274,47.7806,82,8,10.25,2.69,4.2,60
750,21,ho,6,ILH,4,ILH4,G,92,21.33,8,9.774,34.2963,66,10,6.6,2.11,5,60
751,21,ho,1,MLL,6,MLL2,G,105,28.67,25,15.759,44.0609,88,9,9.77777777777778,3.11,5,100
752,21,ho,2,MLL,6,MLL5,G,113,31.33,10,18.935,40.7542,n/a,n/a,n/a,n/a,4.8,90
753,21,ho,3,WKL,16,WKL9,F,105,24.67,14,15.149,36.0262,n/a,n/a,n/a,1.78,4.8,73
754,21,ho,4,SHL,13,SHL18,G,105,28.33,12,14.477,38.0497,82,10,8.2,2.33,5,80
755,21,ho,5,MHL,5,MHL10,F,99,25.67,15,17.01,37.3065,83,8,10.375,2.76,5,85
756,21,ho,6,NBL,7,NBL12,F,105,21.67,6,10.48,35.3246,n/a,n/a,n/a,n/a,5,93
757,22,c,1,NPH,8,NPH4,G,99,21.00,9,5.744,75.6579,82,9,9.11111111111111,2.47,4.8,104
758,22,c,2,SCH,11,SCH7,F,113,24.67,8,16.423,30.5391,76,9,8.44444444444444,3.61,4.4,5
759,22,c,3,SSH,15,SSH6,G,105,19.33,4,11.722,38.1171,68,9,7.55555555555556,2.28,5,105
760,22,c,4,ERH,1,ERH5,F,113,22.67,5,12.722,32.0773,n/a,n/a,n/a,2.53,5,92
761,22,c,5,ERH,1,ERH16,F,105,25.33,8,13.233,43.6871,70,10,7,2.07,4.6,67
762,22,c,6,SCH,11,SCH10,F,113,18.33,3,10.985,31.0856,58,10,5.8,2.60,5,76
763,22,c,1,MHL,5,MHL11,F,92,18.00,5,7.226,38.2000,75,9,8.33333333333333,2.39,4.8,76
764,22,c,2,SHL2,14,SHL214,F,99,21.67,6,13.021,42.0517,78,11,7.09090909090909,2.95,4.8,99
765,22,c,3,ERL2,3,ERL23,F,121,20.00,7,15.772,42.8370,78,11,7.09090909090909,4.18,2.6,23
766,22,c,4,MHL,5,MHL17,F,105,18.00,6,9.461,31.4863,70,9,7.77777777777778,2.40,5,86
767,22,c,5,MLL,6,MLL4,G,99,20.67,9,13.015,34.5661,91,10,9.1,3.14,5,90
768,22,c,6,NBL,7,NBL17,F,99,17.67,4,9.764,34.7099,60,10,6,2.61,5,80
769,22,he,1,SCH,11,SCH10,F,113,32.67,11,22.206,42.7676,78,11,7.09090909090909,2.89,4.8,71
770,22,he,2,ERH,1,ERH5,F,113,29.33,13,20.413,46.6823,n/a,n/a,n/a,n/a,4.6,81
771,22,he,3,NPH,8,NPH4,G,105,25.67,9,15.823,46.1366,n/a,n/a,n/a,n/a,5,58
772,22,he,4,SSH,15,SSH6,G,113,29.33,10,20.731,52.8285,n/a,n/a,n/a,n/a,4.8,49
773,22,he,5,SCH,11,SCH7,F,121,39.00,17,24.453,61.5174,63,9,7,3.02,4.6,67
774,22,he,6,ERH,1,ERH16,F,105,31.33,5,17.452,39.1687,n/a,n/a,n/a,n/a,5,40
775,22,he,1,NBL,7,NBL17,F,113,28.00,10,16.445,49.4411,88,10,8.8,2.25,5,56
776,22,he,2,MHL,5,MHL11,F,113,31.33,9,17.043,51.4156,n/a,n/a,n/a,n/a,4.8,48
777,22,he,3,MLL,6,MLL4,G,113,33.00,23,20.681,51.8106,n/a,n/a,n/a,n/a,5,61
778,22,he,4,MHL,5,MHL17,F,113,25.00,17,16.954,57.0735,n/a,n/a,n/a,n/a,5,65
779,22,he,5,ERL2,3,ERL23,F,113,34.33,7,21.729,53.8835,n/a,n/a,n/a,n/a,3.6,39
780,22,he,6,SHL2,14,SHL214,F,113,26.33,13,15.26,35.9433,n/a,n/a,n/a,n/a,5,53
781,22,ho,1,SSH,15,SSH6,G,113,34.00,14,19.934,37.3017,n/a,n/a,n/a,2.18,5,49
782,22,ho,2,SCH,11,SCH10,F,121,34.33,12,16.318,44.4813,n/a,n/a,n/a,n/a,4.2,90
784,22,ho,4,ERH,1,ERH16,F,113,29.33,9,19.829,44.2392,n/a,n/a,n/a,3.12,4.6,129
785,22,ho,5,NPH,8,NPH4,G,113,22.33,16,21.846,42.3709,n/a,n/a,n/a,n/a,5,77
786,22,ho,6,SCH,11,SCH7,F,121,39.00,12,22.575,34.2070,n/a,n/a,n/a,3.47,4.8,106
787,22,ho,1,MLL,6,MLL4,G,113,27.67,11,19.891,38.7873,n/a,n/a,n/a,n/a,5,69
788,22,ho,2,MHL,5,MHL11,F,105,32.33,12,14.92,45.0075,n/a,n/a,n/a,n/a,5,79
789,22,ho,3,ERL2,3,ERL23,F,113,27.33,16,20.533,36.2754,82,9,9.11111111111111,3.28,4,98
790,22,ho,4,SHL2,14,SHL214,F,121,26.67,15,14.819,40.7655,65,9,7.22222222222222,2.41,5,50
791,22,ho,5,MHL,5,MHL17,F,105,22.33,16,17.654,31.4128,n/a,n/a,n/a,2.03,5,96
792,22,ho,6,NBL,7,NBL17,F,113,30.00,9,16.741,32.9325,n/a,n/a,n/a,n/a,5,65
793,23,c,1,ILH,4,ILH1,G,92,18.00,8,8.527,30.6931,63,10,6.3,2.37,5,45
794,23,c,2,ILH,4,ILH9,G,99,19.33,8,9.068,28.9947,71,10,7.1,2.54,4.8,86
795,23,c,3,NUH,9,NUH7,G,92,17.00,11,12.981,31.5893,84,12,7,2.11,5,67
796,23,c,4,ERH,1,ERH1,F,105,22.00,8,10.087,29.1164,52,9,5.77777777777778,3.32,4.6,87
797,23,c,5,SSH,15,SSH7,G,105,21.67,8,12.591,30.4521,70,8,8.75,2.86,4.8,73
798,23,c,6,SCH,11,SCH19,G,99,18.67,8,9.544,25.7885,77,10,7.7,3.10,5,101
800,23,c,2,WKL,16,WKL7,F,92,21.33,10,11.333,28.5625,75,9,8.33333333333333,2.58,4.6,99
801,23,c,3,SHL,13,SHL2,F,113,20.00,8,10.785,29.6711,73,n/a,n/a,2.71,5,85
802,23,c,4,SHL,13,SHL3,F,113,17.67,8,9.975,26.2868,69,9,7.66666666666667,2.58,5,83
803,23,c,5,PWL,10,PWL1,G,105,21.67,9,12.068,27.9140,65,9,7.22222222222222,2.83,5,65
804,23,c,6,NBL,7,NBL5,F,99,18.33,10,8.963,22.2674,52,10,5.2,2.96,5,84
805,23,he,1,NUH,9,NUH7,G,105,25.00,13,17.648,35.5875216637782,84,10,8.4,2.85,4.6,42
806,23,he,2,SSH,15,SSH7,G,113,27.00,16,16.889,39.8526,81,9,9,2.70,5,58
807,23,he,3,ILH,4,ILH1,G,113,28.67,16,16.353,38.3826,76,9,8.44444444444444,2.63,5,66
808,23,he,4,ILH,4,ILH9,G,113,34.33,8,13.939,37.1388,71,9,7.88888888888889,2.71,5,71
809,23,he,5,SCH,11,SCH19,G,121,33.33,14,22.902,34.3660,82,10,8.2,3.81,4.6,45
810,23,he,6,ERH,1,ERH1,F,105,31.00,13,17.195,28.6955,62,9,6.88888888888889,3.50,4.8,99
811,23,he,1,NBL,7,NBL5,F,113,20.33,16,10.401,45.9548,84,10,8.4,3.17,5,51
812,23,he,2,SHL,13,SHL2,F,121,29.67,15,15.113,49.3000,85,11,7.72727272727273,3.06,5,67
813,23,he,3,PWL,10,PWL1,G,121,25.67,8,14.273,41.8649,71,9,7.88888888888889,3.11,5,71
814,23,he,4,SHL,13,SHL3,F,121,27.67,18,20.242,35.5254,92,9,10.2222222222222,3.28,5,56
815,23,he,5,WKL,16,WKL7,F,113,24.33,13,25.095,34.0420,76,9,8.44444444444444,2.59,5,65
818,23,ho,2,ILH,4,ILH9,G,105,27.00,12,13.319,37.3101,66,9,7.33333333333333,2.27,5,56
819,23,ho,3,SSH,15,SSH7,G,99,25.33,10,13.29,27.9224,75,9,8.33333333333333,2.65,5,65
820,23,ho,4,ILH,4,ILH1,G,121,25.00,10,14.453,32.1895,80,9,8.88888888888889,2.47,5,50
821,23,ho,5,NUH,9,NUH7,G,99,24.67,10,10.551,41.5510,87,12,7.25,n/a,5,66
822,23,ho,6,SCH,11,SCH19,G,113,23.67,9,10.9,21.6336,52,10,5.2,2.95,4.4,66
824,23,ho,2,NBL,7,NBL5,F,105,19.33,12,14.616,32.4234,69,10,6.9,2.40,5,60
825,23,ho,3,WKL,16,WKL7,F,113,23.33,13,13.199,38.5556,82,10,8.2,2.37,5,68
826,23,ho,4,PWL,10,PWL1,G,105,24.33,12,11.333,42.5482625482625,73,9,8.11111111111111,2.62,5,59
827,23,ho,5,SHL,13,SHL2,F,121,23.67,9,16.890,35.0615,74,9,8.22222222222222,2.88,5,61
828,23,ho,6,SHL,13,SHL3,F,121,17.33,7,14.467,28.9669,n/a,n/a,n/a,n/a,n/a,n/a
829,24,c,1,NPH,8,NPH7,G,92,20.67,6,10.15,37.4280,n/a,n/a,n/a,n/a,4.8,85
830,24,c,2,SCH,11,SCH10,F,105,23.67,7,15.58,32.7867,51,8,6.375,2.53,4.4,89
831,24,c,3,SCH,11,SCH14,G,105,25.00,10,16.971,30.6823,74,10,7.4,2.89,4.4,136
832,24,c,4,ILH,4,ILH3,G,92,21.00,7,13.781,33.3075,72,10,7.2,2.48,5,80
833,24,c,5,ILH,4,ILH3,G,99,20.33,4,12.607,33.1845,62,7,8.85714285714286,2.03,4.8,76
834,24,c,6,SCH,11,SCH4,F,105,23.67,8,12.613,26.7161,49,8,6.125,2.92,4.8,131
835,24,c,1,NBL,7,NBL13,F,99,18.67,8,12.462,39.2360,n/a,n/a,n/a,n/a,n/a,66
836,24,c,2,MLL,6,MLL6,G,99,21.00,9,11.85,31.7955,64,9,7.11111111111111,2.53,4.2,111
837,24,c,3,MHL,5,MHL20,F,92,20.67,8,12.777,34.3713,70,9,7.77777777777778,1.99,5,78
839,24,c,5,MLL,6,MLL4,G,99,20.00,10,12.855,35.8114,68,9,7.55555555555556,2.75,4.4,137
840,24,c,6,PWL,10,PWL4,G,99,17.67,6,11.561,26.7797,47,8,5.875,2.14,5,103
841,24,he,1,ILH,4,ILH3,G,105,30.67,13,18.362,52.4096,n/a,n/a,n/a,n/a,n/a,n/a
842,24,he,2,SCH,11,SCH4,F,113,37.67,15,n/a,n/a,n/a,n/a,n/a,n/a,5,73
843,24,he,3,NPH,8,NPH7,G,99,27.33,18,19.534,46.2447,n/a,n/a,n/a,n/a,5,76
844,24,he,4,SCH,11,SCH10,F,121,28.00,15,24.754,49.4429,n/a,n/a,n/a,n/a,4.8,52
845,24,he,5,SCH,11,SCH14,G,121,35.67,15,24.282,49.5484,n/a,n/a,n/a,n/a,5,68
846,24,he,6,ILH,4,ILH3,G,99,23.67,7,12.99,36.4798,n/a,n/a,n/a,n/a,5,48
847,24,he,1,PWL,10,PWL4,G,113,30.00,11,14.993,53.3866,n/a,n/a,n/a,n/a,n/a,n/a
848,24,he,2,MLL,6,MLL4,G,113,26.67,17,19.397,61.0791,n/a,n/a,n/a,n/a,4.6,60
849,24,he,3,NBL,7,NBL13,F,113,28.67,12,12.43,63.2108,n/a,n/a,n/a,n/a,n/a,n/a
850,24,he,4,MHL,5,MHL20,F,121,27.67,10,8.347,61.3750,n/a,n/a,n/a,n/a,5,47
851,24,he,5,MHL,5,MHL5,F,105,29.33,11,23.103,63.5649,n/a,n/a,n/a,n/a,5,30
852,24,he,6,MLL,6,MLL6,G,113,24.33,12,17.958,38.8342,n/a,n/a,n/a,n/a,5,47
853,24,ho,1,ILH,4,ILH3,G,99,29.33,14,11.97,47.0147,84,9,9.33333333333333,2.88,4.6,92
854,24,ho,2,SCH,11,SCH10,F,113,33.67,10,21.213,46.1412,77,10,7.7,3.28,4.2,112
855,24,ho,3,SCH,11,SCH4,F,105,31.00,11,17.653,39.5722,62,8,7.75,3.90,4.4,140
856,24,ho,4,SCH,11,SCH14,G,121,32.00,14,23.341,49.6799,82,9,9.11111111111111,3.92,3.8,128
857,24,ho,5,ILH,4,ILH3,G,105,22.33,12,15.084,56.1865,90,9,10,2.33,5,72
858,24,ho,6,NPH,8,NPH7,G,99,21.00,8,10.69,32.8646,73,7,10.4285714285714,2.38,5,62
859,24,ho,1,MLL,6,MLL4,G,105,29.33,19,20.268,45.7926,99,10,9.9,3.93,4.4,100
861,24,ho,3,MHL,5,MHL20,F,121,28.00,12,17.998,53.9616,n/a,n/a,n/a,2.16,5,79
862,24,ho,4,MLL,6,MLL6,G,121,23.67,18,14.566,55.7104,74,8,9.25,2.66,5,75
863,24,ho,5,PWL,10,PWL4,G,105,26.00,10,15.198,35.5244,n/a,n/a,n/a,n/a,5,103
864,24,ho,6,NBL,7,NBL13,F,99,19.33,7,10.95,31.2657,n/a,n/a,n/a,n/a,5,71
866,25,c,2,NPH,8,NPH11,G,92,20.00,10,10.702,35.1132,86,11,n/a,2.64,n/a,125
867,25,c,3,SCH,11,SCH4,F,105,23.00,8,13.205,25.0399,n/a,n/a,n/a,2.52,n/a,85
868,25,c,4,NPH,8,NPH11,G,92,19.33,11,15.064,35.2335,81,11,n/a,2.81,n/a,110
869,25,c,5,SSH,15,SSH3,G,99,21.00,8,12.421,34.3396,60,9,n/a,2.27,n/a,99
870,25,c,6,SCH,11,SCH17,G,105,23.33,7,11.817,19.5648,n/a,n/a,n/a,2.56,n/a,121
871,25,c,1,SHL,13,SHL17,G,99,21.67,8,12.048,27.3872,77,11,n/a,2.72,n/a,91
872,25,c,2,MHL,5,MHL14,F,105,23.33,4,14.098,29.4050,55,9,n/a,1.73,n/a,89
873,25,c,3,NBL,7,NBL3,F,99,21.33,8,n/a,n/a,69,9,n/a,2.20,n/a,80
874,25,c,4,SHL,13,SHL14,G,99,19.00,6,12.683,28.7101,71,10,n/a,2.34,n/a,71
875,25,c,5,SHL,13,SHL16,G,105,18.67,6,11.86,27.7199,64,10,n/a,2.27,n/a,89
876,25,c,6,SHL,13,SHL17,G,99,17.33,3,8.698,20.8000,52,10,n/a,2.17,n/a,113
877,25,he,1,NPH,8,NPH11,G,105,28.67,22,18.916,45.8497,91,11,n/a,2.63,n/a,75
878,25,he,2,NPH,8,NPH11,G,105,23.00,17,16.8,38.2908,87,10,8.7,2.46,5,81
879,25,he,3,SSH,15,SSH3,G,105,31.33,15,14.427,32.2542,91,11,8.27272727272727,2.69,5,78
880,25,he,4,SCH,11,SCH17,G,113,33.33,13,18.329,34.3597,87,12,7.25,3.87,4.6,113
881,25,he,5,SCH,11,SCH1,F,121,32.33,20,18.722,48.1049,76,11,6.90909090909091,2.82,5,94
882,25,he,6,SCH,11,SCH4,F,113,40.00,17,12.229,47.5066,72,10,7.2,3.99,4.6,113
883,25,he,1,SHL,13,SHL17,G,113,30.00,21,20.443,42.3022,99,10,n/a,2.62,n/a,62
884,25,he,2,MHL,5,MHL14,F,113,31.67,12,16.751,27.3380,71,11,6.45454545454545,2.66,5,113
885,25,he,3,NBL,7,NBL3,F,113,32.33,13,14.668,35.3318,87,10,n/a,2.39,n/a,83
886,25,he,4,SHL,13,SHL17,G,113,31.00,16,16.256,50.2264,94,10,n/a,2.52,n/a,59
887,25,he,5,SHL,13,SHL14,G,121,25.33,16,16.504,37.8095,95,11,8.63636363636364,2.57,5,72
888,25,he,6,SHL,13,SHL16,G,113,33.67,16,16.831,35.5330,90,11,8.18181818181818,2.93,5,75
890,25,ho,2,SCH,11,SCH17,G,113,35.33,18,n/a,n/a,85,11,n/a,3.25,n/a,108
891,25,ho,3,SCH,11,SCH4,F,113,37.67,16,n/a,n/a,84,11,n/a,2.82,n/a,75
892,25,ho,4,NPH,8,NPH11,G,99,27.00,13,n/a,n/a,72,10,7.2,2.61,4.8,84
893,25,ho,5,SSH,15,SSH3,G,105,32.00,23,n/a,n/a,87,10,n/a,2.67,n/a,89
894,25,ho,6,NPH,8,NPH11,G,113,24.00,7,n/a,n/a,n/a,n/a,n/a,2.39,4.2,107
895,25,ho,1,SHL,13,SHL14,G,105,29.00,13,n/a,n/a,n/a,n/a,n/a,2.45,n/a,93
896,25,ho,2,SHL,13,SHL17,G,121,32.00,19,n/a,n/a,82,10,n/a,3.00,n/a,95
897,25,ho,3,SHL,13,SHL17,G,121,31.33,12,n/a,n/a,83,10,8.3,3.13,4.8,99
898,25,ho,4,MHL,5,MHL14,F,105,24.67,13,n/a,n/a,84,10,n/a,2.21,n/a,74
899,25,ho,5,NBL,7,NBL3,F,113,28.67,11,n/a,n/a,79,10,7.9,2.52,5,75
900,25,ho,6,SHL,13,SHL16,G,99,24.33,6,n/a,n/a,68,11,n/a,2.65,n/a,90